JobTitle,Salary,CompanyName,CompanyRating,JobLocation,Summary,Date
Data Science Internship,2000 a month,Arthashastra Intelligence Private Limited,nan,"Hyderabad, Telangana",Work with the directors throughout the organization to identify opportunities for leveraging company data to drive business solutions.,6 days ago
"Director, Data Science",nan,Gartner,3.7,"Gurgaon, Haryana",Establish methodologies for quickly rolling out new data analysis capabilities for standalone data-driven products and service to support our associates.,8 days ago
Trainee - Junior Data Analyst,nan,Cognizant,3.9,"Kolkata, West Bengal",Graduate/Post Graduate/ Doctorate degree in life sciences/Pharmacy/Medical sciences/Registered Nurse.,13 days ago
Business Analyst - Data Science,nan,Gartner,3.7,"Gurgaon, Haryana",Apply ML methodologies to streamline data applications and realize productivity gains.,21 days ago
Data Developer and Machine Learning Analyst,nan,NetApp,4.1,"Bengaluru, Karnataka",Are you excited about data analytics & deriving insights from petabytes of data using modern machine learning techniques?,3 days ago
Data Science Engineer,360000 - 600000 a year,KGtoPG.com,nan,"Hyderabad, Telangana","Experience in understanding business needs and translating to a data-science problem,.",9 days ago
Data Science Specialist/Senior Data Science Specialist,nan,Maven Wave,nan,"Chandigarh, Chandigarh",Develop custom data models and algorithms to apply to data sets.,9 days ago
Data Analyst,nan,PayU,nan,"Gurgaon, Haryana","Ability to work on large data sets, analyze and interpret data for performance improvement and issue detection.",3 days ago
"Data Analytics Specialist, Google Cloud, Customer Engineering",nan,Google,4.3,"Mumbai, Maharashtra","Technical sales or professional consulting experience in cloud computing, data, information lifecycle management and Big Data.",28 days ago
Data Scientist_TS,nan,AppZen,nan,"Pune, Maharashtra","Ensure data quality throughout all stages of acquisition and processing, including such areas.",17 days ago
Data Science Engineer,nan,Hewlett Packard Enterprise,3.8,"Bengaluru, Karnataka",Assess the effectiveness and accuracy of data sources and data gathering techniques.,6 days ago
Environmental Science Engineer For Freshers,18000 - 25000 a month,Environment Officer,nan,"Kolkata, West Bengal","Data Analysis: Compile, analyze, model, and visualize trends in environmental data using excel as well as other analysis programs.",7 days ago
Process Experts - Opportunity to Cash-Data Analyst,nan,Siemens Technology and Services Private Limited,4.0,"Bengaluru, Karnataka",Proven working experience as business data analyst.,1 day ago
Data Scientist –Technology,nan,Anlage Infotech,4.0,"Bengaluru, Karnataka","Perform exploratory data analyses, generate and test working hypotheses, prepare and analyze historical data and identify patterns.",2 days ago
Data Science Developer,nan,Safaltek,nan,Meghalaya,Data Science Developer Apply Job.,30+ days ago
Data Administrator - Remote Position,32000 - 58000 a month,StartUs Insights,nan,Remote,Clean and update data accumulated in the databases.,9 days ago
